source,protocol_label,model,n_splits,roc_auc_mean,roc_auc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,recall_positive_mean,recall_positive_std,specificity_negative_mean,specificity_negative_std,notes
lupus_primary_eval,primary_eval_50_splits,dummy_prior,50,0.500000,0.000000,0.086364,0.012121,0.500000,0.000000,1.000000,0.000000,0.000000,0.000000,available local artifact not regenerated in Stage 8D
lupus_primary_eval,primary_eval_50_splits,mean_pca20_logreg_balanced,50,0.998533,0.005199,0.987222,0.045664,0.750000,0.140859,0.500000,0.281718,1.000000,0.000000,available local artifact not regenerated in Stage 8D
lupus_primary_eval,primary_eval_50_splits,mean_std_pca20_logreg_balanced,50,0.995985,0.009990,0.964000,0.093961,0.675333,0.134064,0.353333,0.268615,0.997333,0.009135,available local artifact not regenerated in Stage 8D
lupus_internal_robustness_ultrafast,robustness_ultrafast_15_splits,mean_pca20_logreg_balanced,15,0.996220,0.008194,0.968519,0.069537,0.921034,0.125706,0.855556,0.258711,0.986513,0.021241,available local artifact with CI columns in source
lupus_internal_robustness_ultrafast,robustness_ultrafast_15_splits,mean_std_pca20_logreg_balanced,15,0.995504,0.011761,0.968889,0.079897,0.713295,0.156302,0.433333,0.319970,0.993257,0.018806,available local artifact with CI columns in source
lupus_internal_robustness_ultrafast,robustness_ultrafast_15_splits,mean_pca10_logreg_balanced,15,0.984112,0.020312,0.885185,0.157718,0.819847,0.143909,0.655556,0.284986,0.984138,0.021610,available local artifact with CI columns in source
lupus_internal_robustness_ultrafast,robustness_ultrafast_15_splits,mean_pca5_logreg_balanced,15,0.878825,0.161199,0.744812,0.251359,0.793946,0.150570,0.688889,0.344265,0.899004,0.122377,available local artifact with CI columns in source
lupus_internal_robustness_ultrafast,robustness_ultrafast_15_splits,artifact_proxy_mean_std_norm_logreg,15,0.765645,0.128472,0.369745,0.226095,0.666705,0.162700,0.655556,0.358937,0.677854,0.091609,available local artifact with CI columns in source
lupus_internal_robustness_ultrafast,robustness_ultrafast_15_splits,dummy_prior,15,0.500000,0.000000,0.086364,0.012420,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,available local artifact with CI columns in source
