review_item,status,risk_level,main_concern,required_action,audit_status
pseudobulk design,accepted_with_restrictions,high,"Normalization and gene-filtering policies remain TODO; no real feature matrix exists","Finalize training-only normalization and filtering after dataset and label approval",scientific_review_complete
logistic regression scaffold,accepted_with_restrictions,medium,"Scaling, regularization search, class weighting, and threshold policy are not finalized","Prespecify leakage-safe patient-level tuning and scaling before any fit",scientific_review_complete
tree-based scaffold,accepted_with_restrictions,high,"High-dimensional features and small patient counts create substantial overfitting risk","Constrain search space and compare under identical patient-level partitions to logistic regression",scientific_review_complete
cell-type proportion scaffold,accepted_with_restrictions,high,"Annotation provenance, compositional dependence, rare-cell handling, and batch effects are unresolved","Verify annotations and prespecify compositional and rare-cell policies",scientific_review_complete
evaluation protocol,accepted_with_restrictions,medium,"Bootstrap count, threshold source, and real patient counts are unresolved","Finalize patient-level interval and threshold policies after cohort review",scientific_review_complete
calibration scaffold,accepted_with_restrictions,high,"ECE bins and sample-size adequacy are unresolved; internal calibration may not transport","Finalize ECE and bootstrap policies and prohibit uncertainty claims",scientific_review_complete
leakage prevention dependency,dependency_blocked,critical,"No populated split manifest or real leakage-check evidence exists","Populate patient-level splits and pass all overlap and confounding checks",scientific_review_complete
label verification dependency,dependency_blocked,critical,"Patient-level diagnosis and control label provenance is not verified","Verify exact labels, definitions, patient linkage, and source provenance",scientific_review_complete
external validation dependency,dependency_blocked,high,"No independent external cohort is assigned and source overlap is unresolved","Resolve cohort overlap and approve an independent validation plan before generalization claims",scientific_review_complete
modeling readiness,not_ready,critical,"No selected dataset, verified labels, approved data path, or passed real leakage checks","Obtain a separate controlled modeling/training gate; keep allow_modeling false",scientific_review_complete
