decision_item,status,blocking,risk_level,evidence_basis,required_next_action,audit_status
training_permission,blocked,true,critical,"state/judge_reports/P3-F016_modeling_readiness_recheck_report.md; reports/tables/modeling_readiness_recheck.csv","Keep training disabled until every blocking readiness condition passes and a new permission decision is recorded",permission_reevaluated
allow_modeling,false,true,critical,"state/modeling_readiness_gate.yaml; state/training_permission_decision.yaml","Do not change allow_modeling until all readiness conditions and human gates are satisfied",permission_reevaluated
dataset_selection,unresolved,true,critical,"reports/tables/dataset_selection_verification.csv; reports/tables/modeling_readiness_recheck.csv","Keep selected_datasets empty and obtain explicit patient-level evidence before human selection",permission_reevaluated
label_provenance,unresolved,true,critical,"reports/tables/label_provenance_verification.csv; reports/tables/metadata_inspection_evidence_log.csv","Verify complete patient/donor-to-label linkage missingness definitions and class counts",permission_reevaluated
patient_donor_mapping,unresolved,true,critical,"reports/tables/patient_id_verification.csv; reports/tables/metadata_inspection_evidence_log.csv","Obtain stable person IDs sample relationships repeated-sample structure uniqueness and missingness",permission_reevaluated
split_manifest,unavailable,true,critical,reports/tables/split_manifest.csv,"Populate only after dataset person IDs labels and repeated samples are verified",permission_reevaluated
leakage_checks,not_executable,true,critical,"reports/tables/modeling_readiness_checklist.csv; reports/tables/metadata_inspection_evidence_log.csv","Resolve exact overlap and create an approved patient/donor-level split before real leakage checks",permission_reevaluated
qc_approval,not_approved,true,high,"reports/tables/qc_summary.csv; reports/tables/qc_threshold_decisions.csv","Obtain dataset-specific QC summaries thresholds before/after counts exclusions and named approval",permission_reevaluated
feature_manifest,unavailable,true,high,"reports/tables/pseudobulk_feature_manifest.csv; reports/tables/cell_type_proportion_features.csv","Create audited patient-level features only after dataset QC IDs labels and split approval",permission_reevaluated
external_validation,unresolved,true,high,"reports/tables/modeling_readiness_recheck.csv; reports/tables/dataset_selection_verification.csv","Keep external_validation_cohort TODO and identify an independent cohort with verified non-overlap",permission_reevaluated
phase4_permission,blocked,true,critical,state/modeling_readiness_gate.yaml,"Do not start Phase 4 until training permission and modeling readiness are explicitly approved",permission_reevaluated
pivot_status,not_activated,false,moderate,state/judge_reports/P3-F016_modeling_readiness_recheck_report.md,"Continue metadata inspection; activate pivot only through a separate dataset strategy decision if trigger conditions are met",permission_reevaluated
